City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.67,clear sky,-9.8,-139.0333,Villa Enata
8,East London,ZA,70.38,few clouds,-33.0153,27.9116,Tu Casa
9,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
10,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
14,Vaini,TO,81.5,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,San Policarpo,PH,78.89,light rain,12.1791,125.5072,Agapita M. Nicart
21,Galle,LK,75.63,scattered clouds,6.0367,80.217,Amangalla
23,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
25,Barranca,PE,73.65,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
26,Port Alfred,ZA,70.03,overcast clouds,-33.5906,26.891,The Halyards Hotel
28,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
30,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Sola,VU,81.91,overcast clouds,-13.8833,167.55,Leumerus Bungalows
32,Saint-Philippe,RE,74.79,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
39,Santa Isabel Do Rio Negro,BR,81.99,overcast clouds,-0.4139,-65.0192,Hotel GSA
40,Rikitea,PF,79.36,broken clouds,-23.1203,-134.9692,People ThankYou
42,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
44,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
45,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
50,Aracatuba,BR,86.18,few clouds,-21.2089,-50.4328,Hotel Nacional Inn Araçatuba
52,Oriximina,BR,78.31,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
53,Butaritari,KI,81.55,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
54,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
58,Kapaa,US,79.2,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Gbarnga,LR,71.2,few clouds,6.9956,-9.4722,Passion Hotel 2
63,Dabakala,CI,79.83,clear sky,8.3667,-4.4333,Hôtel Campement
64,Hervey Bay,AU,74.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
67,Presidencia Roque Saenz Pena,AR,94.23,clear sky,-26.7852,-60.4388,Hotel Gualok
70,Mar Del Plata,AR,80.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Moree,AU,73.42,clear sky,-29.4667,149.85,Molika Springs Motel
74,Ambilobe,MG,73.78,heavy intensity rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
81,Daru,PG,81.45,overcast clouds,-9.0763,143.2092,Daru Lodge
