City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,-7.58,78,75,9.22,broken clouds
1,Atuona,PF,-9.8,-139.0333,78.67,73,3,16.75,clear sky
2,Fallon,US,39.4735,-118.7774,60.28,35,20,4.61,few clouds
3,Cape Town,ZA,-33.9258,18.4232,67.08,62,0,6.91,clear sky
4,Mataura,NZ,-46.1927,168.8643,59.49,83,100,3.85,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,46.06,81,75,28.77,broken clouds
6,Dikson,RU,73.5069,80.5464,8.22,90,100,26.55,overcast clouds
7,Bluff,NZ,-46.6,168.3333,59.81,80,67,11.27,broken clouds
8,East London,ZA,-33.0153,27.9116,70.38,81,14,4.59,few clouds
9,Carnarvon,AU,-24.8667,113.6333,75.27,78,80,4.61,broken clouds
10,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,40,2.3,scattered clouds
11,Freeport,US,40.6576,-73.5832,54.18,37,0,19.57,clear sky
12,Hobart,AU,-42.8794,147.3294,59.25,65,75,5.75,broken clouds
13,Panguna,PG,-6.3164,155.4848,75.36,82,85,1.43,light rain
14,Vaini,TO,-21.2,-175.2,81.5,80,68,21.56,broken clouds
15,Barrow,US,71.2906,-156.7887,-25.58,75,100,6.91,haze
16,Aksarka,RU,66.5606,67.7975,10.42,91,99,18.95,overcast clouds
17,San Policarpo,PH,12.1791,125.5072,78.89,83,100,15.68,light rain
18,Paamiut,GL,61.994,-49.6678,11.1,73,100,9.33,overcast clouds
19,Umm Lajj,SA,25.0213,37.2685,62.56,56,0,11.27,clear sky
20,Turukhansk,RU,65.8167,87.9833,-25.08,99,11,4.74,few clouds
21,Galle,LK,6.0367,80.217,75.63,87,29,7.78,scattered clouds
22,Victoria,HK,22.2855,114.1577,63.25,86,100,17.0,overcast clouds
23,Mahajanga,MG,-15.7167,46.3167,78.82,83,40,1.14,scattered clouds
24,Bredasdorp,ZA,-34.5322,20.0403,58.32,82,0,3.44,clear sky
25,Barranca,PE,-10.75,-77.7667,73.65,67,74,8.43,broken clouds
