City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bengkulu,ID,2022-02-10 20:33:44,-3.8004,102.2655,74.91,79,95,5.14
1,Kapaa,US,2022-02-10 20:33:44,22.0752,-159.319,77.47,71,0,3.0
2,Port Alfred,ZA,2022-02-10 20:29:11,-33.5906,26.891,70.92,79,81,7.63
3,Gaspe,CA,2022-02-10 20:33:45,48.8334,-64.4819,34.02,75,100,4.61
4,Cape Town,ZA,2022-02-10 20:31:24,-33.9258,18.4232,68.09,62,0,8.05
5,Vila,PT,2022-02-10 20:33:45,42.0304,-8.1588,46.74,79,69,2.35
6,Atuona,PF,2022-02-10 20:33:46,-9.8,-139.0333,78.57,74,1,16.96
7,Rafaela,AR,2022-02-10 20:30:14,-31.2503,-61.4867,98.01,14,28,5.01
8,Dikson,RU,2022-02-10 20:29:16,73.5069,80.5464,7.29,91,100,27.6
9,New Norfolk,AU,2022-02-10 20:33:46,-42.7826,147.0587,57.76,58,53,2.01
10,Ushuaia,AR,2022-02-10 20:31:37,-54.8,-68.3,49.62,71,75,29.93
11,Bluff,NZ,2022-02-10 20:33:47,-46.6,168.3333,58.8,82,66,12.97
12,Sabratah,LY,2022-02-10 20:33:48,32.7933,12.4885,55.2,62,0,8.9
13,Barrow,US,2022-02-10 20:31:19,71.2906,-156.7887,27.38,62,100,8.05
14,Butaritari,KI,2022-02-10 20:29:11,3.0707,172.7902,81.18,79,24,17.31
15,Zabol,AF,2022-02-10 20:33:48,32.25,67.25,34.41,50,4,4.61
16,Tuktoyaktuk,CA,2022-02-10 20:33:49,69.4541,-133.0374,-13.0,70,100,12.66
17,Lebu,CL,2022-02-10 20:33:49,-37.6167,-73.65,60.66,67,63,26.82
18,Hambantota,LK,2022-02-10 20:33:49,6.1241,81.1185,75.79,87,42,6.62
19,Mataura,NZ,2022-02-10 20:33:50,-46.1927,168.8643,58.48,88,100,2.66
20,Northallerton,GB,2022-02-10 20:33:50,54.339,-1.4324,42.93,68,20,16.11
21,Rikitea,PF,2022-02-10 20:33:51,-23.1203,-134.9692,79.32,71,65,17.94
22,Lasa,IT,2022-02-10 20:33:51,46.6166,10.7002,35.62,76,15,1.79
23,Ikwiriri,TZ,2022-02-10 20:33:51,-7.9562,38.9716,73.69,93,96,1.72
24,Bredasdorp,ZA,2022-02-10 20:33:52,-34.5322,20.0403,60.12,77,0,2.3
25,Verkhnetulomskiy,RU,2022-02-10 20:33:52,68.6073,31.7962,26.73,99,98,2.33
26,Carnarvon,AU,2022-02-10 20:33:53,-24.8667,113.6333,78.87,73,75,8.05
27,Aden,YE,2022-02-10 20:30:06,12.7794,45.0367,76.21,66,6,17.2
28,Marzuq,YE,2022-02-10 20:33:53,14.4,46.4667,61.5,50,94,2.91
29,Jamestown,US,2022-02-10 20:31:45,42.097,-79.2353,38.52,53,95,8.01
30,Thompson,CA,2022-02-10 20:33:54,55.7435,-97.8558,-9.24,70,100,14.97
31,Chernyshevskiy,RU,2022-02-10 20:33:54,63.0128,112.4714,-24.77,99,90,1.7
